词	读音	含义	级别	词性	出现次数
学ぶ	まなぶ	学习	N3	noun	2
以降	いこう	以后；…以来	N2	noun	2
延長	えんちょう	延长	N2	noun	2
却って	かえって	反而；反倒	N2	noun	2
格別	かくべつ	格外；特别	N2	noun	2
貸し出し	かしだし	借出；出租	N2	noun	2
公共	こうきょう	公共	N2	noun	2
敷く	しく	铺；铺设	N2	noun	2
自治	じち	自治	N2	noun	2
指定	してい	指定	N2	noun	2
受験	じゅけん	受验	N2	noun	2
送別	そうべつ	送别	N2	noun	2
送料	そうりょう	邮费；运费	N2	noun	2
但し	ただし	但是；不过	N2	noun	2
調整	ちょうせい	调整	N2	noun	2
追加	ついか	追加	N2	noun	2
通ずる	つうずる	引导	N2	noun	2
日時	にちじ	日期和时间	N2	noun	2
話し掛ける	はなしかける	搭话；跟…说话	N2	noun	2
目安	めやす	标准；大致目标	N2	noun	2
忘れる	わすれる	忘记	?	verb	2
休む	やすむ	休息	?	verb	2
寝る	ねる	睡	?	verb	2
受ける	うける	接受/参加	?	verb	2
払う	はらう	付钱	?	verb	2
落とす	おとす	掉落	?	verb	2
落ちる	おちる	落下/不合格	?	verb	2
集まる	あつまる	聚集	?	verb	2
動く	うごく	动	?	verb	2
止まる	とまる	停止	?	verb	2
急ぐ	いそぐ	赶快	?	verb	2
笑う	わらう	笑	?	verb	2
謝る	あやまる	道歉	?	verb	2
手伝う	てつだう	帮忙	?	verb	2
調べる	しらべる	调查/查	?	verb	2
捨てる	すてる	扔	?	verb	2
追う	おう	追	?	verb	2
足りる	たりる	足够	?	verb	2
合う	あう	合适/相合	?	verb	2
混む	こむ	拥挤	?	verb	2
間違える	まちがえる	搞错	?	verb	2
引き受ける	ひきうける	承担	?	verb	2
夫婦	ふうふ	夫妻	N3	noun	1
父	ちち	父亲	N5	noun	1
娘	むすめ	女儿	N4	noun	1
社員	しゃいん	员工	N4	noun	1
学生	がくせい	学生	N5	noun	1
作家	さっか	作家	N3	noun	1
頭	あたま	头	N5	noun	1
腕	うで	手臂	N4	noun	1
胸	むね	胸	N3	noun	1
腰	こし	腰	N3	noun	1
血	ち	血	N4	noun	1
髪	かみ	头发	N4	noun	1
息	いき	呼吸	N3	noun	1
怪我	けが	受伤	N4	noun	1
傷	きず	伤口	N3	noun	1
視力	しりょく	视力	N3	noun	1
ストレス	ストレス	压力	N3	noun	1
毎朝	まいあさ	每天早上	N5	noun	1
毎晩	まいばん	每天晚上	N5	noun	1
毎週	まいしゅう	每周	N5	noun	1
毎月	まいつき	每月	N5	noun	1
今週	こんしゅう	这周	N5	noun	1
先月	せんげつ	上个月	N5	noun	1
今年	ことし	今年	N5	noun	1
休日	きゅうじつ	假日	N5	noun	1
期間	きかん	期间	N3	noun	1
期限	きげん	期限	N3	noun	1
瞬間	しゅんかん	瞬间	N3	noun	1
一瞬	いっしゅん	一瞬间	N3	noun	1
直前	ちょくぜん	之前/紧接前	N2	noun	1
始まり	はじまり	开始	N3	noun	1
終わり	おわり	结束	N4	noun	1
前回	ぜんかい	上次	N1	noun	1
今回	こんかい	这次	N3	noun	1
次回	じかい	下次	N4	noun	1
前日	ぜんじつ	前一天	N4	noun	1
玄関	げんかん	玄关；门厅	N5	noun	1
廊下	ろうか	走廊	N5	noun	1
地下	ちか	地下	N3	noun	1
ベランダ	ベランダ	阳台	N4	noun	1
教室	きょうしつ	教室	N5	noun	1
コンビニ	コンビニ	便利店	N5	noun	1
スーパー	スーパー	超市	N5	noun	1
レストラン	レストラン	餐厅	N5	noun	1
食堂	しょくどう	食堂	N5	noun	1
居酒屋	いざかや	日式酒馆	N3	noun	1
カフェ	カフェ	咖啡店	N4	noun	1
神社	じんじゃ	神社（日本神道教的）	N4	noun	1
空港	くうこう	机场	N4	noun	1
ホーム	ホーム	站台	N3	noun	1
改札	かいさつ	检票口	N2	noun	1
出口	でぐち	出口	N5	noun	1
ホテル	ホテル	酒店	N5	noun	1
旅館	りょかん	旅馆	N4	noun	1
温泉	おんせん	温泉	N2	noun	1
プール	プール	游泳池	N5	noun	1
道	みち	路；道路	N5	noun	1
角	かど	拐角	N5	noun	1
真ん中	まんなか	正中间	N4	noun	1
隣	となり	旁边	N5	noun	1
気温	きおん	气温	N3	noun	1
気候	きこう	气候	N3	noun	1
雲	くも	云	N4	noun	1
雪	ゆき	雪	N5	noun	1
氷	こおり	冰	N3	noun	1
海	うみ	海	N5	noun	1
土	つち	土	N3	noun	1
犬	いぬ	狗	N5	noun	1
ご飯	ごはん	米饭/饭	N5	noun	1
パン	パン	面包	N5	noun	1
塩	しお	盐	N5	noun	1
スープ	スープ	汤	N3	noun	1
レシピ	レシピ	食谱	N3	noun	1
刺身	さしみ	生鱼片	N2	noun	1
天ぷら	てんぷら	天妇罗	N4	noun	1
ラーメン	ラーメン	拉面	N4	noun	1
そば	そば	荞麦面	N5	noun	1
カレー	カレー	咖喱	N5	noun	1
おにぎり	おにぎり	饭团	N4	noun	1
鍋	なべ	火锅	N3	noun	1
コーヒー	コーヒー	咖啡	N5	noun	1
牛乳	ぎゅうにゅう	牛奶	N5	noun	1
ビール	ビール	啤酒	N3	noun	1
酒	さけ	酒	N3	noun	1
財布	さいふ	钱包	N5	noun	1
眼鏡	めがね	眼镜	N5	noun	1
時計	とけい	钟表	N5	noun	1
スマホ	スマホ	智能手机	N4	noun	1
テレビ	テレビ	电视	N5	noun	1
エアコン	エアコン	空调	N4	noun	1
カメラ	カメラ	相机	N5	noun	1
タオル	タオル	毛巾	N3	noun	1
シャンプー	シャンプー	洗发水	N4	noun	1
ゴミ	ゴミ	垃圾	N5	noun	1
箱	はこ	箱子	N5	noun	1
箸	はし	筷子	N5	noun	1
コップ	コップ	杯子	N5	noun	1
テーブル	テーブル	桌子	N5	noun	1
棚	たな	架子	N4	noun	1
引き出し	ひきだし	抽屉	N4	noun	1
ドア	ドア	门	N5	noun	1
床	ゆか	地板	N3	noun	1
カーテン	カーテン	窗帘	N4	noun	1
ジャケット	ジャケット	夹克	N4	noun	1
ボタン	ボタン	纽扣	N5	noun	1
サイズ	サイズ	尺码	N1	noun	1
切符	きっぷ	车票	N5	noun	1
片道	かたみち	单程	N2	noun	1
往復	おうふく	往返	N2	noun	1
急行	きゅうこう	快车	N4	noun	1
ラッシュ	ラッシュ	高峰	N3	noun	1
ガソリン	ガソリン	汽油	N4	noun	1
打ち合わせ	うちあわせ	碰头会	N2	noun	1
資料	しりょう	资料	N2	noun	1
企画	きかく	企划	N1	noun	1
商談	しょうだん	商谈	N3	noun	1
取引	とりひき	交易	N1	noun	1
人事	じんじ	人事	N2	noun	1
総務	そうむ	总务	N3	noun	1
開発	かいはつ	开发	N1	noun	1
プロジェクト	プロジェクト	项目	N3	noun	1
チーム	チーム	团队	N3	noun	1
メンバー	メンバー	成员	N3	noun	1
目標	もくひょう	目标	N3	noun	1
成果	せいか	成果	N1	noun	1
コスト	コスト	成本	N3	noun	1
転勤	てんきん	调职	N1	noun	1
クレーム	クレーム	投诉	N3	noun	1
トラブル	トラブル	问题/麻烦	N1	noun	1
合格	ごうかく	及格/合格	N3	noun	1
進学	しんがく	升学	N3	noun	1
宿題	しゅくだい	作业	N5	noun	1
単語	たんご	单词	N3	noun	1
努力	どりょく	努力	N3	noun	1
復習	ふくしゅう	复习	N4	noun	1
価格	かかく	价格	N3	noun	1
費用	ひよう	费用	N3	noun	1
税金	ぜいきん	税	N3	noun	1
振り込み	ふりこみ	转账	N3	noun	1
レシート	レシート	小票	N3	noun	1
割引	わりびき	折扣	N2	noun	1
経済	けいざい	经济	N4	noun	1
投資	とうし	投资	N1	noun	1
義務	ぎむ	义务	N3	noun	1
犯罪	はんざい	犯罪	N3	noun	1
ルール	ルール	规则	N3	noun	1
マナー	マナー	礼仪	N3	noun	1
歴史	れきし	历史	N4	noun	1
国際	こくさい	国际	N4	noun	1
ボランティア	ボランティア	志愿者	N3	noun	1
ニュース	ニュース	新闻	N5	noun	1
データ	データ	数据	N3	noun	1
調査	ちょうさ	调查	N3	noun	1
発表	はっぴょう	发表	N3	noun	1
賛成	さんせい	赞成	N3	noun	1
反対	はんたい	反对	N4	noun	1
批判	ひはん	批判	N3	noun	1
対策	たいさく	对策	N2	noun	1
解決	かいけつ	解决	N3	noun	1
原因	げんいん	原因	N4	noun	1
効果	こうか	效果	N3	noun	1
怒り	いかり	愤怒	N3	noun	1
感動	かんどう	感动	N3	noun	1
反省	はんせい	反省	N3	noun	1
自信	じしん	自信	N4	noun	1
勇気	ゆうき	勇气	N3	noun	1
希望	きぼう	希望	N3	noun	1
関心	かんしん	关心	N3	noun	1
プレッシャー	プレッシャー	压迫感	N3	noun	1
印象	いんしょう	印象	N3	noun	1
イメージ	イメージ	印象/形象	N3	noun	1
誤解	ごかい	误解	N3	noun	1
人生	じんせい	人生	N3	noun	1
きっかけ	きっかけ	契机	N2	noun	1
タイミング	タイミング	时机	N1	noun	1
成功	せいこう	成功	N3	noun	1
挑戦	ちょうせん	挑战	N3	noun	1
成長	せいちょう	成长	N3	noun	1
進歩	しんぽ	进步	N3	noun	1
限界	げんかい	极限	N3	noun	1
本音	ほんね	真心话	N1	noun	1
レベル	レベル	水平	N3	noun	1
特徴	とくちょう	特征	N3	noun	1
範囲	はんい	范围	N3	noun	1
立場	たちば	立场	N3	noun	1
役割	やくわり	角色	N3	noun	1
つながり	つながり	联系/纽带	N2	noun	1
手段	しゅだん	手段	N3	noun	1
スポーツ	スポーツ	运动	N5	noun	1
旅行	りょこう	旅行	N5	noun	1
花火	はなび	烟花	N2	noun	1
紅葉	こうよう	红叶	N2	noun	1
SNS	エスエヌエス	社交媒体	N3	noun	1
アプリ	アプリ	应用软件	N3	noun	1
サイト	サイト	网站	N3	noun	1
ネット	ネット	网络	N3	noun	1
メール	メール	邮件	N3	noun	1
LINE	ライン	LINE（通讯软件）	N3	noun	1
リスク	リスク	风险	N3	noun	1
メリット	メリット	优点	N3	noun	1
バランス	バランス	平衡	N3	noun	1
ポイント	ポイント	要点/积分	N1	noun	1
テーマ	テーマ	主题	N2	noun	1
ケース	ケース	情况/案例	N3	noun	1
タイプ	タイプ	类型	N4	noun	1
サービス	サービス	服务	N3	noun	1
ライフスタイル	ライフスタイル	生活方式	N3	noun	1
エコ	エコ	环保	N3	noun	1
キャッシュレス	キャッシュレス	无现金	N3	noun	1
まな板	まないた	砧板	N3	noun	1
レジ	レジ	收银台	N4	noun	1
半額	はんがく	半价	N3	noun	1
診察	しんさつ	看诊	N3	noun	1
眼科	がんか	眼科	N1	noun	1
シフト	シフト	排班	N3	noun	1
敷金	しききん	押金	N3	noun	1
礼金	れいきん	礼金	N3	noun	1
感染	かんせん	感染	N1	noun	1
協力	きょうりょく	合作	N3	noun	1
停電	ていでん	停电	N3	noun	1
箱根	はこね	箱根温泉胜地	N5	noun	1
古い	ふるい	旧的	N5	noun	1
遠い	とおい	远的	N5	noun	1
狭い	せまい	窄的	N5	noun	1
厚い	あつい	厚的	N5	noun	1
薄い	うすい	薄的/淡的	N5	noun	1
細い	ほそい	细的	N5	noun	1
明るい	あかるい	明亮的/开朗的	N5	noun	1
白い	しろい	白的	N5	noun	1
黄色い	きいろい	黄的	N5	noun	1
甘い	あまい	甜的/天真的	N5	noun	1
面白い	おもしろい	有趣的	N5	noun	1
嬉しい	うれしい	高兴的	N4	noun	1
寂しい	さびしい	寂寞的	N4	noun	1
怖い	こわい	害怕的	N4	noun	1
恥ずかしい	はずかしい	害羞的	N4	noun	1
懐かしい	なつかしい	怀念的	N2	noun	1
眠い	ねむい	困的	N4	noun	1
だるい	だるい	无力的/懒的	N1	noun	1
苦しい	くるしい	痛苦的	N3	noun	1
厳しい	きびしい	严格的/严峻的	N4	noun	1
可愛い	かわいい	可爱的	N5	noun	1
ひどい	ひどい	过分的/严重的	N4	noun	1
望ましい	のぞましい	理想的/希望的	N1	noun	1
蒸し暑い	むしあつい	闷热的	N3	noun	1
元気	げんき	精神好的	N5	noun	1
有名	ゆうめい	有名的	N5	noun	1
不便	ふべん	不方便的	N4	noun	1
安全	あんぜん	安全的	N4	noun	1
残念	ざんねん	遗憾的	N4	noun	1
得意	とくい	擅长；得意洋洋	N3	noun	1
正確	せいかく	准确的	N3	noun	1
急	きゅう	急的/突然的	N4	noun	1
確か	たしか	确实的	N4	noun	1
素敵	すてき	很棒的	N3	noun	1
普通	ふつう	普通的	N4	noun	1
柔軟	じゅうなん	灵活的	N1	noun	1
無駄	むだ	浪费的/没用的	N3	noun	1
有効	ゆうこう	有效的	N3	noun	1
不利	ふり	不利的	N3	noun	1
子ども	こども	孩子	N5	noun	1
町	まち	城镇	N5	noun	1
村	むら	村庄	N5	noun	1
一日	いちにち	一天	N5	noun	1
ノート	のーと	笔记本	N5	noun	1
地図	ちず	地图	N5	noun	1
答え	こたえ	回答	N5	noun	1
左	ひだり	左	N5	noun	1
閉める	しめる	关闭	N5	noun	1
ある	ある	有（物）	N5	noun	1
いる	いる	有（人/动物）	N5	noun	1
要る	いる	需要	N5	noun	1
返す	かえす	归还	N5	noun	1
帰る	かえる	回去	N5	noun	1
咲く	さく	开花	N5	noun	1
撮る	とる	拍照	N5	noun	1
なくす	なくす	弄丢	N5	noun	1
なる	なる	成为	N5	noun	1
貼る	はる	贴	N5	noun	1
もらう	もらう	收到	N5	noun	1
渡る	わたる	过（桥/路）	N5	noun	1
出かける	でかける	出门	N5	noun	1
いつ	いつ	什么时候	N5	noun	1
たくさん	たくさん	很多	N5	noun	1
ちょっと	ちょっと	稍微	N5	noun	1
とても	とても	非常	N5	noun	1
まだ	まだ	还；尚未	N5	noun	1
よく	よく	经常；好好地	N5	noun	1
すぐ	すぐ	马上	N5	noun	1
挨拶	あいさつ	寒暄；打招呼	N4	noun	1
アルバイト	あるばいと	兼职	N4	noun	1
以下	いか	以下	N4	noun	1
以外	いがい	以外	N4	noun	1
教育	きょういく	教育	N4	noun	1
故障	こしょう	故障	N4	noun	1
サラダ	さらだ	沙拉	N4	noun	1
準備	じゅんび	准备	N4	noun	1
紹介	しょうかい	介绍	N4	noun	1
だいたい	だいたい	大约；大体上	N4	noun	1
注意	ちゅうい	注意	N4	noun	1
届ける	とどける	送到	N4	noun	1
泣く	なく	哭	N4	noun	1
慣れる	なれる	习惯	N4	noun	1
昼休み	ひるやすみ	午休	N4	noun	1
見つかる	みつかる	被找到	N4	noun	1
迎える	むかえる	迎接	N4	noun	1
別れる	わかれる	分别	N4	noun	1
育てる	そだてる	培养；养育	N4	noun	1
集める	あつめる	收集	N4	noun	1
生きる	いきる	活着	N4	noun	1
祈る	いのる	祈祷	N4	noun	1
感じる	かんじる	感觉	N4	noun	1
足す	たす	加上	N4	noun	1
助ける	たすける	帮助	N4	noun	1
治る	なおる	痊愈	N4	noun	1
塗る	ぬる	涂；抹	N4	noun	1
冷える	ひえる	变冷	N4	noun	1
間に合う	まにあう	来得及	N4	noun	1
汚れる	よごれる	弄脏	N4	noun	1
詳しい	くわしい	详细的	N4	noun	1
人間	にんげん	人类；人	N3	noun	1
国民	こくみん	国民	N3	noun	1
届	とどけ	申报表	N3	noun	1
会員	かいいん	会员	N3	noun	1
広告	こうこく	广告	N3	noun	1
片付け	かたづけ	收拾	N3	noun	1
エレベーター	えれべーたー	电梯	N3	noun	1
基本	きほん	基本	N3	noun	1
価値	かち	价值	N3	noun	1
満足	まんぞく	满足	N3	noun	1
奪う	うばう	夺取	N3	noun	1
得る	える	获得	N3	noun	1
怒る	おこる	生气	N3	noun	1
限る	かぎる	限制	N3	noun	1
試す	ためす	尝试	N3	noun	1
通る	とおる	通过	N3	noun	1
悩む	なやむ	烦恼	N3	noun	1
目指す	めざす	以…为目标	N3	noun	1
判断	はんだん	判断	N3	noun	1
主張	しゅちょう	主张	N3	noun	1
競争	きょうそう	竞争	N3	noun	1
描く	えがく	画；描写	N3	noun	1
育つ	そだつ	成长	N3	noun	1
耐える	たえる	忍受	N3	noun	1
拾う	ひろう	捡起	N3	noun	1
振り返る	ふりかえる	回头看	N3	noun	1
眩しい	まぶしい	刺眼的	N3	noun	1
明らか	あきらか	明显的	N3	noun	1
適切	てきせつ	恰当的	N3	noun	1
すでに	すでに	已经	N3	noun	1
ずっと	ずっと	一直	N3	noun	1
つい	つい	不由得	N3	noun	1
むしろ	むしろ	倒不如说	N3	noun	1
しっかり	しっかり	牢牢地	N3	noun	1
やっと	やっと	好不容易	N3	noun	1
ようやく	ようやく	终于	N3	noun	1
消費	しょうひ	消费	N2	noun	1
供給	きょうきゅう	供给	N2	noun	1
業務	ぎょうむ	业务	N2	noun	1
納期	のうき	交货期	N2	noun	1
概念	がいねん	概念	N2	noun	1
医療	いりょう	医疗	N2	noun	1
本質	ほんしつ	本质	N2	noun	1
尊厳	そんげん	尊严	N2	noun	1
掲げる	かかげる	举起；提出	N2	noun	1
兼ねる	かねる	兼任	N2	noun	1
仕掛ける	しかける	发起	N2	noun	1
示す	しめす	表示	N2	noun	1
携わる	たずさわる	从事	N2	noun	1
漂う	ただよう	漂浮	N2	noun	1
問う	とう	询问；追究	N2	noun	1
脅かす	おびやかす	威胁	N2	noun	1
過剰	かじょう	过剩的	N2	noun	1
円滑	えんかつ	顺畅的	N2	noun	1
いずれ	いずれ	迟早	N2	noun	1
とりわけ	とりわけ	尤其	N2	noun	1
日常	にちじょう	日常	N2	noun	1
家事	かじ	家务	N2	noun	1
世話	せわ	照顾；关照	N2	noun	1
滞在	たいざい	逗留	N2	noun	1
手当	てあて	补贴；治疗	N2	noun	1
付き合い	つきあい	交往	N2	noun	1
冗談	じょうだん	玩笑	N2	noun	1
在庫	ざいこ	库存	N2	noun	1
改善	かいぜん	改善	N2	noun	1
措置	そち	措施	N2	noun	1
推進	すいしん	推进	N2	noun	1
導入	どうにゅう	引入	N2	noun	1
拡大	かくだい	扩大	N2	noun	1
縮小	しゅくしょう	缩小	N2	noun	1
向上	こうじょう	提高	N2	noun	1
維持	いじ	维持	N2	noun	1
整備	せいび	整备	N2	noun	1
充実	じゅうじつ	充实	N2	noun	1
安定	あんてい	稳定	N2	noun	1
参加	さんか	参加	N2	noun	1
孤独	こどく	孤独	N2	noun	1
水準	すいじゅん	水平	N2	noun	1
弊害	へいがい	弊害	N2	noun	1
打開	だかい	打开局面	N2	noun	1
生かす	いかす	活用	N2	noun	1
切り替える	きりかえる	切换	N2	noun	1
組み合わせる	くみあわせる	组合	N2	noun	1
好む	このむ	喜好	N2	noun	1
込める	こめる	倾注	N2	noun	1
溶け込む	とけこむ	融入	N2	noun	1
取り組む	とりくむ	致力于	N2	noun	1
取り入れる	とりいれる	引进	N2	noun	1
馴染む	なじむ	习惯	N2	noun	1
和らげる	やわらげる	缓和	N2	noun	1
かつて	かつて	曾经	N2	noun	1
上げる	あげる	举起；抬起；抬起	N5	noun	1
アパート	アパート	公寓	N5	noun	1
英語	えいご	英语	N5	noun	1
かかる	かかる	花费（时间、金钱）	N5	noun	1
かける	かける	to dial/call (e.g., phone)；坐下	N5	noun	1
カップ	カップ	杯子	N5	noun	1
カレンダー	カレンダー	日历	N5	noun	1
漢字	かんじ	汉字；Chinese character	N5	noun	1
クラス	クラス	班级	N5	noun	1
結構	けっこう	很好；足够；相当	N5	noun	1
こちら	こちら	this person (polite)；这边	N5	noun	1
散歩	さんぽ (する)	散步	N5	noun	1
しかし	しかし	但是；but	N5	noun	1
締める	しめる	系紧；收紧	N5	noun	1
シャワー	シャワー	淋浴	N5	noun	1
丁度	ちょうど	刚好；正好	N5	noun	1
できる	できる	能够；会	N5	noun	1
どうぞ	どうぞ	请；请便	N5	noun	1
時々	ときどき	有时	N5	noun	1
どちら	どちら	哪边；哪位（敬语）	N5	noun	1
無くす	なくす	弄丢	N5	noun	1
習う	ならう	学；学习	N5	noun	1
ページ	ページ	页	N5	noun	1
ペット	ペット	宠物	N5	noun	1
磨く	みがく	刷（牙）；擦亮	N5	noun	1
みんな	みんな	大家；全部	N5	noun	1
八百屋	やおや	蔬菜店	N5	noun	1
昨夜	ゆうべ	昨晚	N5	noun	1
大抵	たいてい	大致；一般	N4	noun	1
ほとんど	ほとんど	几乎	N4	noun	1
つもり	つもり	计划	N4	noun	1
売り場	うりば	卖场	N4	noun	1
正月	しょうがつ	正月；新年	N4	noun	1
ガラス	ガラス	玻璃	N4	noun	1
エスカレーター	エスカレーター	自动扶梯	N4	noun	1
壊れる	こわれる	打破	N4	noun	1
揺れる	ゆれる	摇晃	N4	noun	1
さっき	さっき	刚才	N4	noun	1
立てる	たてる	竖立；制定（计划）	N4	noun	1
くれる	くれる	给（我/我方）	N4	noun	1
もちろん	もちろん	当然	N4	noun	1
受付	うけつけ	接待处	N4	noun	1
細かい	こまかい	小的；fine, minute	N4	noun	1
都合	つごう	方便；情况	N4	noun	1
片付ける	かたづける	收拾；整理	N4	noun	1
アメリカ	アメリカ	美国	N4	noun	1
中々	なかなか	非常	N4	noun	1
押し入れ	おしいれ	壁橱	N4	noun	1
しばらく	しばらく	暂时；好久	N4	noun	1
計画	けいかくする	计划；项目；日程	N4	noun	1
是非	ぜひ	一定；务必	N4	noun	1
遊び	あそび	玩耍	N4	noun	1
きっと	きっと	一定	N4	noun	1
遠く	とおく	远处	N4	noun	1
返事	へんじ	回答；回复	N4	noun	1
専門	せんもん	专业；专长	N4	noun	1
あげる	あげる	给	N4	noun	1
最も	もっとも	最；最为	N4	noun	1
直る	なおる	修好；恢复	N4	noun	1
仕方	しかた	方法；办法	N4	noun	1
植える	うえる	种植	N4	noun	1
取り替える	とりかえる	更换	N4	noun	1
下げる	さげる	降低；挂	N4	noun	1
乗り換える	のりかえる	电车	N4	noun	1
たまに	たまに	偶尔	N4	noun	1
四季	しき	四季	N3	noun	1
刺激	しげき	刺激	N3	noun	1
支払う	しはらう	支付	N3	noun	1
収穫	しゅうかく	收获	N3	noun	1
重視	じゅうし	重视	N3	noun	1
集団	しゅうだん	集团	N3	noun	1
住民	じゅうみん	居民	N3	noun	1
少々	しょうしょう	稍微；一点点	N3	noun	1
食欲	しょくよく	食欲	N3	noun	1
人工	じんこう	人工	N3	noun	1
慎重	しんちょう	慎重	N3	noun	1
数字	すうじ	数字	N3	noun	1
優れる	すぐれる	优秀	N3	noun	1
進める	すすめる	推进	N3	noun	1
既に	すでに	已经	N3	noun	1
請求	せいきゅう	请求	N3	noun	1
正式	せいしき	正式	N3	noun	1
セット	セット	套装；设置	N3	noun	1
預ける	あずける	寄存；托付	N3	noun	1
温まる	あたたまる	暖和起来	N3	noun	1
温める	あたためる	加热；温暖	N3	noun	1
辺り	あたり	附近	N3	noun	1
集まり	あつまり	集会	N3	noun	1
合わせる	あわせる	配合；对齐	N3	noun	1
慌てる	あわてる	慌张	N3	noun	1
行き	いき	去程	N3	noun	1
勢い	いきおい	气势；势头；趁势	N3	noun	1
意思	いし	意思	N3	noun	1
位置	いち	位置	N3	noun	1
一時	いちじ	一时；暂时	N3	noun	1
一体	いったい	到底；究竟	N3	noun	1
祝う	いわう	祝贺	N3	noun	1
印刷	いんさつ	印刷	N3	noun	1
生まれ	うまれ	出生	N3	noun	1
応援	おうえん	应援	N3	noun	1
教わる	おそわる	被教；学到	N3	noun	1
カード	カード	卡片	N3	noun	1
飼う	かう	饲养	N3	noun	1
香り	かおり	香气	N3	noun	1
確実	かくじつ	确实	N3	noun	1
加減	かげん	调节；状态	N3	noun	1
活用	かつよう	活用；灵活运用	N3	noun	1
考え	かんがえ	想法	N3	noun	1
観客	かんきゃく	观众	N3	noun	1
感謝	かんしゃ	感谢	N3	noun	1
吸収	きゅうしゅう	吸收	N3	noun	1
急速	きゅうそく	急速	N3	noun	1
禁煙	きんえん	禁烟	N3	noun	1
暮らす	くらす	生活	N3	noun	1
グループ	グループ	团体	N3	noun	1
敬意	けいい	敬意	N3	noun	1
計算	けいさん	计算	N3	noun	1
掲示	けいじ	告示	N3	noun	1
化粧	けしょう	化妆	N3	noun	1
交換	こうかん	交换	N3	noun	1
校舎	こうしゃ	校舍	N3	noun	1
コード	コード	代码	N3	noun	1
呼吸	こきゅう	呼吸	N3	noun	1
故郷	こきょう	故乡	N3	noun	1
越す	こす	超过；搬	N3	noun	1
小包	こづつみ	包裹	N3	noun	1
異なる	ことなる	不同	N3	noun	1
好み	このみ	喜好	N3	noun	1
転ぶ	ころぶ	摔倒	N3	noun	1
困難	こんなん	困难	N3	noun	1
最高	さいこう	最高	N3	noun	1
最終	さいしゅう	最终	N3	noun	1
最低	さいてい	最低	N3	noun	1
サイン	サイン	签名	N3	noun	1
作業	さぎょう	作业；工作	N3	noun	1
指す	さす	指；指向	N3	noun	1
座席	ざせき	座席	N3	noun	1
土産	みやげ	特产；伴手礼	N3	noun	1
迎え	むかえ	迎接	N3	noun	1
無視	むし	无视；忽视	N3	noun	1
寧ろ	むしろ	不如说	N3	noun	1
迷惑	めいわく	给人添麻烦	N3	noun	1
申し訳	もうしわけ	道歉	N3	noun	1
唯一	ゆいいつ	唯一	N3	noun	1
郵便	ゆうびん	郵便	N3	noun	1
予測	よそく	预测	N3	noun	1
読み	よみ	读法	N3	noun	1
理解	りかい	理解	N3	noun	1
両替	りょうがえ	兑换	N3	noun	1
列車	れっしゃ	列车	N3	noun	1
医院	いいん	诊所（日本的）	N3	noun	1
遅れ	おくれ	迟到；延迟	N3	noun	1
教え	おしえ	教诲	N3	noun	1
借り	かり	借；欠债	N3	noun	1
享受	きょうじゅ	享受；享有	N3	noun	1
切り	きり	限度；到此为止	N3	noun	1
節約	せつやく	节约	N3	noun	1
責める	せめる	责备；谴责	N3	noun	1
洗剤	せんざい	洗涤剂	N3	noun	1
センター	センター	中心	N3	noun	1
全体	ぜんたい	全体	N3	noun	1
組織	そしき	组织	N3	noun	1
揃える	そろえる	凑齐；整理整齐	N3	noun	1
体育	たいいく	体育	N3	noun	1
大会	たいかい	大会	N3	noun	1
互い	たがい	互相	N3	noun	1
炊く	たく	煮饭；蒸煮	N3	noun	1
焚く	たく	燃烧	N3	noun	1
畳む	たたむ	折叠	N3	noun	1
経つ	たつ	（时间）经过；流逝	N3	noun	1
溜まる	たまる	收集	N3	noun	1
試し	ためし	尝试；试验	N3	noun	1
遅刻	ちこく	迟到	N3	noun	1
駐車	ちゅうしゃ	停车	N3	noun	1
注目	ちゅうもく	注目	N3	noun	1
直接	ちょくせつ	直接	N3	noun	1
伝わる	つたわる	传达	N3	noun	1
続き	つづき	续集；继续	N3	noun	1
積む	つむ	堆积；积累	N3	noun	1
連れ	つれ	同伴	N3	noun	1
定期	ていき	月票；定期	N3	noun	1
適用	てきよう	适用	N3	noun	1
手伝い	てつだい	帮忙	N3	noun	1
徹夜	てつや	通宵	N3	noun	1
電子	でんし	电子	N3	noun	1
問い	とい	问题	N3	noun	1
同時	どうじ	同时	N3	noun	1
到着	とうちゃく	到达	N3	noun	1
解く	とく	解开；解答	N3	noun	1
読書	どくしょ	读书	N3	noun	1
溶ける	とける	融化	N3	noun	1
土地	とち	土地	N3	noun	1
突然	とつぜん	突然	N3	noun	1
ドライブ	ドライブ	兜风	N3	noun	1
内容	ないよう	内容	N3	noun	1
中身	なかみ	中身	N3	noun	1
流れ	ながれ	水流；流向；趋势	N3	noun	1
無し	なし	无	N3	noun	1
鳴らす	ならす	使…响	N3	noun	1
似合う	にあう	适合；相配	N3	noun	1
握る	にぎる	握；捏（寿司）	N3	noun	1
入場	にゅうじょう	入场	N3	noun	1
願い	ねがい	欲望	N3	noun	1
農業	のうぎょう	农业	N3	noun	1
伸ばす	のばす	伸长	N3	noun	1
述べる	のべる	陈述；表达	N3	noun	1
載る	のる	出现	N3	noun	1
吐く	はく	吐；呕吐	N3	noun	1
拍手	はくしゅ	鼓掌	N3	noun	1
働き	はたらき	工作；功能	N3	noun	1
バッグ	バッグ	包	N3	noun	1
